"submit_team";"image_url"
"2010_UC_Davis";"static/image/image/2010/UC_Davis_05.png"
"2010_UIUC-Illinois";"static/image/image/2010/UIUC-Illinois_01.png"
"2010_UIUC-Illinois";"static/image/image/2010/UIUC-Illinois_02.png"
"2010_ULB-Brussels";"static/image/image/2010/ULB-Brussels_01.png"
"2010_ULB-Brussels";"static/image/image/2010/ULB-Brussels_02.png"
"2010_ULB-Brussels";"static/image/image/2010/ULB-Brussels_03.png"
"2010_ULB-Brussels";"static/image/image/2010/ULB-Brussels_04.png"
"2010_ULB-Brussels";"static/image/image/2010/ULB-Brussels_05.png"
"2010_UNAM-Genomics_Mexico";"static/image/image/2010/UNAM-Genomics_Mexico_01.png"
"2010_UNAM-Genomics_Mexico";"static/image/image/2010/UNAM-Genomics_Mexico_02.png"
"2010_UNAM-Genomics_Mexico";"static/image/image/2010/UNAM-Genomics_Mexico_03.png"
"2010_UNAM-Genomics_Mexico";"static/image/image/2010/UNAM-Genomics_Mexico_04.png"
"2010_UNAM-Genomics_Mexico";"static/image/image/2010/UNAM-Genomics_Mexico_05.png"
"2010_UNIPV-Pavia";"static/image/image/2010/UNIPV-Pavia_01.png"
"2010_UNIPV-Pavia";"static/image/image/2010/UNIPV-Pavia_02.png"
"2010_UNIPV-Pavia";"static/image/image/2010/UNIPV-Pavia_03.png"
"2010_UNIPV-Pavia";"static/image/image/2010/UNIPV-Pavia_04.png"
"2010_UNIPV-Pavia";"static/image/image/2010/UNIPV-Pavia_05.png"
"2010_uOttawa";"static/image/image/2010/uOttawa_01.png"
"2010_uOttawa";"static/image/image/2010/uOttawa_02.png"
"2010_UPO-Sevilla";"static/image/image/2010/UPO-Sevilla_01.png"
"2010_UPO-Sevilla";"static/image/image/2010/UPO-Sevilla_02.png"
"2010_UPO-Sevilla";"static/image/image/2010/UPO-Sevilla_03.png"
"2010_UPO-Sevilla";"static/image/image/2010/UPO-Sevilla_04.png"
"2010_UPO-Sevilla";"static/image/image/2010/UPO-Sevilla_05.png"
"2010_UT-Tokyo";"static/image/image/2010/UT-Tokyo_01.png"
"2010_UT-Tokyo";"static/image/image/2010/UT-Tokyo_02.png"
"2010_UT-Tokyo";"static/image/image/2010/UT-Tokyo_03.png"
"2010_UT-Tokyo";"static/image/image/2010/UT-Tokyo_04.png"
"2010_UT-Tokyo";"static/image/image/2010/UT-Tokyo_05.png"
"2010_Utah_State";"static/image/image/2010/Utah_State_01.png"
"2010_Utah_State";"static/image/image/2010/Utah_State_02.png"
"2010_Utah_State";"static/image/image/2010/Utah_State_03.png"
"2010_Utah_State";"static/image/image/2010/Utah_State_04.png"
"2010_Utah_State";"static/image/image/2010/Utah_State_05.png"
"2010_UTDallas";"static/image/image/2010/UTDallas_01.png"
"2010_UTDallas";"static/image/image/2010/UTDallas_02.png"
"2010_UTDallas";"static/image/image/2010/UTDallas_03.png"
"2010_UTDallas";"static/image/image/2010/UTDallas_04.png"
"2010_UTDallas";"static/image/image/2010/UTDallas_05.png"
"2010_Valencia";"static/image/image/2010/Valencia_01.png"
"2010_Valencia";"static/image/image/2010/Valencia_02.png"
"2010_Valencia";"static/image/image/2010/Valencia_03.png"
"2010_Valencia";"static/image/image/2010/Valencia_04.png"
"2010_Valencia";"static/image/image/2010/Valencia_05.png"
"2010_Warsaw";"static/image/image/2010/Warsaw_01.png"
"2010_Warsaw";"static/image/image/2010/Warsaw_02.png"
"2010_Warsaw";"static/image/image/2010/Warsaw_03.png"
"2010_Warsaw";"static/image/image/2010/Warsaw_04.png"
"2010_Warsaw";"static/image/image/2010/Warsaw_05.png"
"2010_Washington";"static/image/image/2010/Washington_01.png"
"2010_Washington";"static/image/image/2010/Washington_02.png"
"2010_Washington";"static/image/image/2010/Washington_03.png"
"2010_Washington";"static/image/image/2010/Washington_04.png"
"2010_Washington";"static/image/image/2010/Washington_05.png"
"2010_WashU";"static/image/image/2010/WashU_01.png"
"2010_WashU";"static/image/image/2010/WashU_02.png"
"2010_WashU";"static/image/image/2010/WashU_03.png"
"2010_Wisconsin-Madison";"static/image/image/2010/Wisconsin-Madison_01.png"
"2010_Wisconsin-Madison";"static/image/image/2010/Wisconsin-Madison_02.png"
"2010_Wisconsin-Madison";"static/image/image/2010/Wisconsin-Madison_03.png"
"2010_Wisconsin-Madison";"static/image/image/2010/Wisconsin-Madison_04.png"
"2010_Wisconsin-Madison";"static/image/image/2010/Wisconsin-Madison_05.png"
"2010_WITS-South_Africa";"static/image/image/2010/WITS-South_Africa_01.png"
"2010_WITS-South_Africa";"static/image/image/2010/WITS-South_Africa_02.png"
"2010_WITS-South_Africa";"static/image/image/2010/WITS-South_Africa_03.png"
"2010_WITS-South_Africa";"static/image/image/2010/WITS-South_Africa_04.png"
"2010_WITS-South_Africa";"static/image/image/2010/WITS-South_Africa_05.png"
"2010_Yale";"static/image/image/2010/Yale_01.png"
"2010_Yale";"static/image/image/2010/Yale_02.png"
"2010_Yale";"static/image/image/2010/Yale_03.png"
"2010_Yale";"static/image/image/2010/Yale_04.png"
"2010_Yale";"static/image/image/2010/Yale_05.png"
"2011_Alberta";"static/image/image/2011/Alberta_01.png"
"2011_Alberta";"static/image/image/2011/Alberta_02.png"
"2011_Alberta";"static/image/image/2011/Alberta_03.png"
"2011_Alberta";"static/image/image/2011/Alberta_04.png"
"2011_Alberta";"static/image/image/2011/Alberta_05.png"
"2011_Arizona_State";"static/image/image/2011/Arizona_State_01.png"
"2011_Arizona_State";"static/image/image/2011/Arizona_State_02.png"
"2011_Berkeley";"static/image/image/2011/Berkeley_01.png"
"2011_Berkeley";"static/image/image/2011/Berkeley_02.png"
"2011_Berkeley";"static/image/image/2011/Berkeley_03.png"
"2011_Berkeley";"static/image/image/2011/Berkeley_04.png"
"2011_Berkeley";"static/image/image/2011/Berkeley_05.png"
"2011_Bielefeld-Germany";"static/image/image/2011/Bielefeld-Germany_01.png"
"2011_Bielefeld-Germany";"static/image/image/2011/Bielefeld-Germany_02.png"
"2011_British_Columbia";"static/image/image/2011/British_Columbia_01.png"
"2011_British_Columbia";"static/image/image/2011/British_Columbia_02.png"
"2011_British_Columbia";"static/image/image/2011/British_Columbia_03.png"
"2011_British_Columbia";"static/image/image/2011/British_Columbia_04.png"
"2011_British_Columbia";"static/image/image/2011/British_Columbia_05.png"
"2011_Brown-Stanford";"static/image/image/2011/Brown-Stanford_01.png"
"2011_Brown-Stanford";"static/image/image/2011/Brown-Stanford_02.png"
"2011_Brown-Stanford";"static/image/image/2011/Brown-Stanford_03.png"
"2011_Brown-Stanford";"static/image/image/2011/Brown-Stanford_04.png"
"2011_Brown-Stanford";"static/image/image/2011/Brown-Stanford_05.png"
"2011_BU_Wellesley_Software";"static/image/image/2011/BU_Wellesley_Software_01.png"
"2011_BU_Wellesley_Software";"static/image/image/2011/BU_Wellesley_Software_02.png"
"2011_BU_Wellesley_Software";"static/image/image/2011/BU_Wellesley_Software_03.png"
"2011_BU_Wellesley_Software";"static/image/image/2011/BU_Wellesley_Software_04.png"
"2011_BU_Wellesley_Software";"static/image/image/2011/BU_Wellesley_Software_05.png"
"2011_BYU_Provo";"static/image/image/2011/BYU_Provo_01.png"
"2011_BYU_Provo";"static/image/image/2011/BYU_Provo_02.png"
"2011_BYU_Provo";"static/image/image/2011/BYU_Provo_03.png"
"2011_BYU_Provo";"static/image/image/2011/BYU_Provo_04.png"
"2011_Calgary";"static/image/image/2011/Calgary_01.png"
"2011_Calgary";"static/image/image/2011/Calgary_02.png"
"2011_Calgary";"static/image/image/2011/Calgary_03.png"
"2011_Calgary";"static/image/image/2011/Calgary_04.png"
"2011_Caltech";"static/image/image/2011/Caltech_01.png"
"2011_Caltech";"static/image/image/2011/Caltech_02.png"
"2011_Caltech";"static/image/image/2011/Caltech_03.png"
"2011_Caltech";"static/image/image/2011/Caltech_04.png"
"2011_Caltech";"static/image/image/2011/Caltech_05.png"
"2011_Columbia-Cooper";"static/image/image/2011/Columbia-Cooper_01.png"
"2011_Columbia-Cooper";"static/image/image/2011/Columbia-Cooper_02.png"
"2011_Columbia-Cooper";"static/image/image/2011/Columbia-Cooper_03.png"
